|Lemons Arse-Freeze-Apolooza|,,,,,,,,,,
|12|,|4|,|2010|,,,,,,,,
|Pos|,|No|,|Name|,|Class|,|VicYear|,|VicMake|,|VicModel|,|Laps|,|BestTime|,|LapsBS|,|LapsFlag|
162,85,|ing with Bad Ideas|,|C|,|1964|,|Volkswagen|,|Beetle|,7,02:46.698,,
163,102,|Hatfield's and McCoy's|,|A|,|1988|,|Nissan|,|300zx|,2,02:38.244,,
164,1,|Cajun Coonasses dba Deaf Leppard|,|A|,|1993|,|Nissan|,|Sentra|,,,,
165,18,|Third Shift Racing - Team Slapshot|,|B|,|1984|,|Pontiac|,|Firebird|,,,,
166,22,|OLD Fast Auto Race Team & Sons 2|,|B|,|1984|,|Audi|,|4000S Quattro|,,,,
167,40,|Absolute Lemon|,|A|,|1987|,|BMW|,|325|,,,,
168,66,|Sex Pistons|,|C|,|1978|,|Triumph|,|Spitfire|,,,,
169,181,|A Lemon Entry|,|C|,|1989|,|Ford|,|Escort|,,,,
170,358,|Don't ask Don't tell|,|A|,|1987|,|Toyota|,|Supra|,,,,
171,595,|Angry Hamster Racing|,|A|,|1971|,|Honda|,|Z600|,,,,
172,54,|Blanco Basura Racing|,|A|,|1972|,|Ford|,|Capri|,-1,02:44.251,12,
173,25,|White Trash Barbie Racing|,|C|,|1990|,|Ford|,|Crown Vic|,-100,,100,
